timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559816901529,445,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,2,2,http://localhost:8080/test/charger,445,0,1
1559816901837,441,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,3,3,http://localhost:8080/test/charger,441,0,0
1559816901975,441,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,3,3,http://localhost:8080/test/charger,441,0,0
1559816902038,478,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,3,3,http://localhost:8080/test/charger,478,0,0
1559816902278,515,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,3,3,http://localhost:8080/test/charger,515,0,1
1559816902416,510,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,3,3,http://localhost:8080/test/charger,510,0,1
1559816902793,528,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,3,3,http://localhost:8080/test/charger,528,0,1
1559816902927,549,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,2,2,http://localhost:8080/test/charger,549,0,1
1559816903476,479,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,2,2,http://localhost:8080/test/charger,479,0,1
1559816902517,1457,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,2,2,http://localhost:8080/test/charger,1457,0,0
1559816903956,489,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,3,3,http://localhost:8080/test/charger,489,0,0
1559816903974,483,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,3,3,http://localhost:8080/test/charger,483,0,1
1559816904079,491,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,3,3,http://localhost:8080/test/charger,491,0,0
1559816904446,464,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,3,3,http://localhost:8080/test/charger,464,0,1
1559816904457,489,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,2,2,http://localhost:8080/test/charger,489,0,1
1559816904570,462,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,2,2,http://localhost:8080/test/charger,462,0,1
1559816904947,482,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,2,2,http://localhost:8080/test/charger,482,0,1
1559816905033,567,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,2,2,http://localhost:8080/test/charger,566,0,0
1559816905430,454,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,2,2,http://localhost:8080/test/charger,454,0,1
1559816905600,437,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,2,2,http://localhost:8080/test/charger,437,0,1
1559816905884,466,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,3,3,http://localhost:8080/test/charger,466,0,1
1559816906038,462,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,3,3,http://localhost:8080/test/charger,462,0,0
1559816906119,464,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,3,3,http://localhost:8080/test/charger,464,0,0
1559816906350,474,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,3,3,http://localhost:8080/test/charger,474,0,1
1559816906501,452,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,3,3,http://localhost:8080/test/charger,451,0,1
1559816906583,468,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,3,3,http://localhost:8080/test/charger,468,0,1
1559816906825,531,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,3,3,http://localhost:8080/test/charger,531,0,0
1559816906953,534,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,3,3,http://localhost:8080/test/charger,534,0,0
1559816907051,483,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,3,3,http://localhost:8080/test/charger,483,0,1
1559816907356,571,HTTP Request,200,OK,Thread Group 1-18,text,true,,169,127,3,3,http://localhost:8080/test/charger,571,0,1
1559816907487,514,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,2,2,http://localhost:8080/test/charger,514,0,1
1559816907534,489,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,2,2,http://localhost:8080/test/charger,489,0,1
1559816908024,593,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,3,3,http://localhost:8080/test/charger,593,0,0
1559816908001,616,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,3,3,http://localhost:8080/test/charger,616,0,1
1559816908161,533,HTTP Request,200,OK,Thread Group 1-21,text,true,,169,127,3,3,http://localhost:8080/test/charger,533,0,1
1559816908618,527,HTTP Request,200,OK,Thread Group 1-19,text,true,,169,127,3,3,http://localhost:8080/test/charger,527,0,0
1559816908618,527,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,3,3,http://localhost:8080/test/charger,527,0,0
1559816908695,568,HTTP Request,200,OK,Thread Group 1-21,text,true,,169,127,2,2,http://localhost:8080/test/charger,568,0,0
1559816909145,437,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,2,2,http://localhost:8080/test/charger,437,0,1
1559816909264,471,HTTP Request,200,OK,Thread Group 1-21,text,true,,169,127,2,2,http://localhost:8080/test/charger,471,0,0
1559816909582,427,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,2,2,http://localhost:8080/test/charger,427,0,1
1559816909735,509,HTTP Request,200,OK,Thread Group 1-21,text,true,,169,127,3,3,http://localhost:8080/test/charger,509,0,1
1559816910009,443,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,3,3,http://localhost:8080/test/charger,443,0,1
1559816910200,445,HTTP Request,200,OK,Thread Group 1-22,text,true,,169,127,3,3,http://localhost:8080/test/charger,445,0,1
1559816910453,456,HTTP Request,200,OK,Thread Group 1-20,text,true,,169,127,3,3,http://localhost:8080/test/charger,456,0,0
1559816910645,436,HTTP Request,200,OK,Thread Group 1-22,text,true,,169,127,2,2,http://localhost:8080/test/charger,436,0,1
